observation_date;ECOMSA
1999-10-01;4476
2000-01-01;5691
2000-04-01;6465
2000-07-01;7419
2000-10-01;7840
2001-01-01;8135
2001-04-01;8336
2001-07-01;8335
2001-10-01;9314
2002-01-01;9904
2002-04-01;10742
2002-07-01;11543
2002-10-01;12231
2003-01-01;12738
2003-04-01;13773
2003-07-01;14833
2003-10-01;15588
2004-01-01;16697
2004-04-01;17519
2004-07-01;18506
2004-10-01;19631
2005-01-01;20801
2005-04-01;22233
2005-07-01;23653
2005-10-01;24364
2006-01-01;26417
2006-04-01;27367
2006-07-01;28842
2006-10-01;30138
2007-01-01;31728
2007-04-01;33524
2007-07-01;34841
2007-10-01;35784
2008-01-01;36014
2008-04-01;36512
2008-07-01;36292
2008-10-01;33050
2009-01-01;34127
2009-04-01;35279
2009-07-01;37400
2009-10-01;38111
2010-01-01;39284
2010-04-01;41301
2010-07-01;43472
2010-10-01;45074
2011-01-01;47036
2011-04-01;48849
2011-07-01;50186
2011-10-01;53188
2012-01-01;55286
2012-04-01;56562
2012-07-01;58552
2012-10-01;60838
2013-01-01;62257
2013-04-01;64020
2013-07-01;65928
2013-10-01;68343
2014-01-01;70253
2014-04-01;73272
2014-07-01;75739
2014-10-01;77707
2015-01-01;80223
2015-04-01;82848
2015-07-01;85775
2015-10-01;88437
2016-01-01;91394
2016-04-01;94320
2016-07-01;97406
2016-10-01;100362
2017-01-01;104572
2017-04-01;108452
2017-07-01;112022
2017-10-01;117309
2018-01-01;121728
2018-04-01;125311
2018-07-01;128056
2018-10-01;131610
2019-01-01;132435
2019-04-01;137954
2019-07-01;146362
2019-10-01;152673
2020-01-01;159268
2020-04-01;211804
2020-07-01;215476
2020-10-01;220552
2021-01-01;231650
2021-04-01;239897
2021-07-01;235241
2021-10-01;243755
2022-01-01;247609
2022-04-01;251463
2022-07-01;255583
2022-10-01;257560
2023-01-01;266314
2023-04-01;273354
2023-07-01;279508
2023-10-01;283293
2024-01-01;287855
2024-04-01;292567
2024-07-01;300053